strategy,concurrency,op,duration_ms
single_saver_shared_pool,20,aput,118.46680000007836
single_saver_shared_pool,20,aput_writes,122.16220000027533
single_saver_shared_pool,20,aput,123.15450000005512
single_saver_shared_pool,20,aput_writes,127.15170000001308
single_saver_shared_pool,20,aput,128.52440000006027
single_saver_shared_pool,20,aput_writes,132.56600000022445
single_saver_shared_pool,20,aput,133.22500000003856
single_saver_shared_pool,20,aput_writes,136.9446999997308
single_saver_shared_pool,20,aput,135.36100000010265
single_saver_shared_pool,20,aput_writes,138.35359999984576
single_saver_shared_pool,20,aput,138.5777999998936
single_saver_shared_pool,20,aput_writes,141.82909999999538
single_saver_shared_pool,20,aput,142.41279999987455
single_saver_shared_pool,20,aput_writes,145.32869999993636
single_saver_shared_pool,20,aput,140.29260000006616
single_saver_shared_pool,20,aput,135.70819999995365
single_saver_shared_pool,20,aput,130.7691000001796
single_saver_shared_pool,20,aput,126.679200000126
single_saver_shared_pool,20,aput,122.4291000003177
single_saver_shared_pool,20,aput,117.27899999959845
single_saver_shared_pool,20,aput,111.9659999999385
single_saver_shared_pool,20,aput,107.70709999997052
single_saver_shared_pool,20,aput,103.66430000021865
single_saver_shared_pool,20,aput,98.70490000002974
single_saver_shared_pool,20,aput,93.93679999993765
single_saver_shared_pool,20,aput,90.39579999989655
single_saver_shared_pool,20,aput,85.92929999986154
single_saver_shared_pool,20,aput,81.42709999992803
single_saver_shared_pool,20,aput,76.84729999982665
single_saver_shared_pool,20,aput,71.81709999986197
single_saver_shared_pool,20,aput,67.10309999971287
single_saver_shared_pool,20,aput,62.98849999984668
single_saver_shared_pool,20,aput,60.24470000011206
single_saver_shared_pool,20,aput,56.591000000025815
single_saver_shared_pool,20,aput,2.9901999996582163
single_saver_shared_pool,20,aput_writes,5.116499999985535
single_saver_shared_pool,20,aput,3.3942000000024564
single_saver_shared_pool,20,aput_writes,6.598800000119809
single_saver_shared_pool,20,aput,5.400399999871297
single_saver_shared_pool,20,aput_writes,8.847099999911734
single_saver_shared_pool,20,aput,7.839599999897473
single_saver_shared_pool,20,aput_writes,10.608400000364782
single_saver_shared_pool,20,aput,9.597499999927095
single_saver_shared_pool,20,aput_writes,12.626699999600532
single_saver_shared_pool,20,aput,13.28220000004876
single_saver_shared_pool,20,aput_writes,15.697799999998097
single_saver_shared_pool,20,aput,14.817399999628833
single_saver_shared_pool,20,aput_writes,17.58609999978944
single_saver_shared_pool,20,aput,18.15260000012131
single_saver_shared_pool,20,aput_writes,20.47629999970013
single_saver_shared_pool,20,aput,19.73920000000362
single_saver_shared_pool,20,aput_writes,22.1480000000156
single_saver_shared_pool,20,aput,21.017500000198197
single_saver_shared_pool,20,aput_writes,23.429899999882764
single_saver_shared_pool,20,aput,24.74869999969087
single_saver_shared_pool,20,aput_writes,26.912499999980355
single_saver_shared_pool,20,aput,26.154700000006414
single_saver_shared_pool,20,aput_writes,28.49789999982022
single_saver_shared_pool,20,aput,27.34329999975671
single_saver_shared_pool,20,aput_writes,29.835299999831477
single_saver_shared_pool,20,aput,31.035399999836955
single_saver_shared_pool,20,aput_writes,33.047399999759364
single_saver_shared_pool,20,aput,33.32609999961278
single_saver_shared_pool,20,aput_writes,35.505299999840645
single_saver_shared_pool,20,aput,33.109999999851425
single_saver_shared_pool,20,aput_writes,35.580100000061066
single_saver_shared_pool,20,aput,36.74910000017917
single_saver_shared_pool,20,aput_writes,39.00019999991855
single_saver_shared_pool,20,aput,37.054599999919446
single_saver_shared_pool,20,aput_writes,39.18070000008811
single_saver_shared_pool,20,aput,38.27180000007502
single_saver_shared_pool,20,aput_writes,40.72009999981674
single_saver_shared_pool,20,aput,41.052200000194716
single_saver_shared_pool,20,aput_writes,43.3484000000135
single_saver_shared_pool,20,aput,3.6405000000740984
single_saver_shared_pool,20,aput,5.852699999650213
single_saver_shared_pool,20,aput_writes,9.266000000025088
single_saver_shared_pool,20,aput_writes,11.249600000155624
single_saver_shared_pool,20,aput,10.099699999955192
single_saver_shared_pool,20,aput_writes,12.99189999963346
single_saver_shared_pool,20,aput,14.201399999819841
single_saver_shared_pool,20,aput_writes,17.036600000210456
single_saver_shared_pool,20,aput,15.424300000177027
single_saver_shared_pool,20,aput_writes,18.121900000096502
single_saver_shared_pool,20,aput,19.52179999989312
single_saver_shared_pool,20,aput_writes,22.514899999805493
single_saver_shared_pool,20,aput,20.912399999815534
single_saver_shared_pool,20,aput_writes,24.158499999884953
single_saver_shared_pool,20,aput,25.11850000018967
single_saver_shared_pool,20,aput_writes,28.309600000284263
single_saver_shared_pool,20,aput,26.941399999941495
single_saver_shared_pool,20,aput_writes,29.51020000000426
single_saver_shared_pool,20,aput,29.906499999924563
single_saver_shared_pool,20,aput_writes,32.309999999597494
single_saver_shared_pool,20,aput,34.203900000193244
single_saver_shared_pool,20,aput_writes,36.46709999975428
single_saver_shared_pool,20,aput,35.38520000029166
single_saver_shared_pool,20,aput_writes,37.90399999979854
single_saver_shared_pool,20,aput,37.138099999992846
single_saver_shared_pool,20,aput_writes,39.5223000000442
single_saver_shared_pool,20,aput,39.988800000173796
single_saver_shared_pool,20,aput_writes,42.214599999624625
single_saver_shared_pool,20,aput,41.797500000029686
single_saver_shared_pool,20,aput_writes,44.04530000010709
single_saver_shared_pool,20,aput,43.15279999991617
single_saver_shared_pool,20,aput_writes,45.57459999978164
single_saver_shared_pool,20,aput,46.841500000027736
single_saver_shared_pool,20,aput_writes,49.278899999990244
single_saver_shared_pool,20,aput,47.20880000013494
single_saver_shared_pool,20,aput_writes,49.57009999998263
single_saver_shared_pool,20,aput,48.77230000010968
single_saver_shared_pool,20,aput_writes,51.11880000004021
single_saver_shared_pool,20,aput,52.610100000038074
single_saver_shared_pool,20,aput_writes,55.037000000083935
single_saver_shared_pool,20,aput,4.248199999892677
single_saver_shared_pool,20,aput,6.212700000105542
single_saver_shared_pool,20,aput_writes,9.763700000348763
single_saver_shared_pool,20,aput_writes,11.424100000112958
single_saver_shared_pool,20,aput,13.668100000359118
single_saver_shared_pool,20,aput_writes,15.827800000352
single_saver_shared_pool,20,aput,17.886100000396254
single_saver_shared_pool,20,aput_writes,20.146399999703135
single_saver_shared_pool,20,aput,17.62109999981476
single_saver_shared_pool,20,aput,20.256999999674008
single_saver_shared_pool,20,aput_writes,22.586800000226503
single_saver_shared_pool,20,aput_writes,25.286399999913556
single_saver_shared_pool,20,aput,23.234599999796046
single_saver_shared_pool,20,aput,25.104600000304345
single_saver_shared_pool,20,aput_writes,28.17749999985608
single_saver_shared_pool,20,aput_writes,30.59239999993224
single_saver_shared_pool,20,aput,27.647000000342814
single_saver_shared_pool,20,aput_writes,30.07430000025124
single_saver_shared_pool,20,aput,31.501699999807897
single_saver_shared_pool,20,aput_writes,33.57689999984359
single_saver_shared_pool,20,aput,35.132399999838526
single_saver_shared_pool,20,aput_writes,37.493300000278396
single_saver_shared_pool,20,aput,35.85479999992458
single_saver_shared_pool,20,aput_writes,38.11330000007729
single_saver_shared_pool,20,aput,38.0672000001141
single_saver_shared_pool,20,aput_writes,40.32310000002326
single_saver_shared_pool,20,aput,41.62640000004103
single_saver_shared_pool,20,aput_writes,43.8891999997395
